名称,営業日,住所,アクセス
MAYAK POCHA マヤクポチャ 渋谷本店,月～木: 16:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）金: 16:00～翌4:00 （料理L.O. 翌3:30 ドリンクL.O. 翌3:30）土: 12:00～翌4:00 （料理L.O. 翌3:30 ドリンクL.O. 翌3:30）日、祝日: 12:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）,東京都渋谷区宇田川町26-9 メトロビルB1階,渋谷駅ハチ公口徒歩3分バスケットボールストリート（渋谷センター街）通りの１階ウエンディーズ伸ビル2階
多古菊,月～日、祝日、祝前日: 17:00～23:30 （料理L.O. 22:30 ドリンクL.O. 23:00）,東京都渋谷区道玄坂１‐６‐２,ＪＲ渋谷駅西口より約4分/東京メトロ銀座線渋谷駅井の頭線出口より約4分/京王井の頭線渋谷駅井の頭線西口より約1分
和食居酒屋 鳥世界 渋谷本店,月、日: 12:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）火～土: 12:00～翌7:00 （料理L.O. 翌6:00 ドリンクL.O. 翌6:00）,東京都渋谷区道玄坂２-28-2 GMビル1階,渋谷駅ハチ公口徒歩3分。道玄坂の途中にあるロイヤルホストさんの先です。道案内など気兼ねなくお問い合わせください。
肉寿司&チーズフォンデュ食べ飲み放題 リコピンモンスーン 渋谷店,月～日、祝日、祝前日: 11:00～15:00 （料理L.O. 14:00 ドリンクL.O. 14:30）17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,東京都渋谷区渋谷３－１８－５ー３Ｆ,■ 渋谷駅徒歩5分※貸切など…無料下見だけも大歓迎♪路地裏に存在する隠れ家スポット★
焼き鳥&野菜巻き食べ放題 一番鳥 渋谷駅前店,月～木: 14:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）金～日: 12:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,東京都渋谷区道玄坂１-5-5 藤木ビル3階,渋谷駅徒歩1分（焼き鳥&野菜巻き食べ放題の個室居酒屋）
nurikabe cafe SSS エスリー 渋谷,月～日: 12:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）祝日: 12:00～23:00,東京都渋谷区渋谷３‐10‐14　長崎堂　B1,JR「渋谷駅」新南口より徒歩3分/東京メトロ半蔵門線・副都心線・東急東横線・田園都市線渋谷駅C1・C2出口より徒歩2分
Darts UP ダーツ アップ 渋谷駅前,月～日、祝日、祝前日: 17:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:30）,東京都渋谷区道玄坂１-3-1渋谷駅前会館(飯島ビル)B2F,渋谷駅より徒歩約2分
貸切パーティールーム DeBarge 渋谷駅,月～日、祝日、祝前日: 12:00～23:30 （料理L.O. 23:30 ドリンクL.O. 23:30）,東京都渋谷区道玄坂１－３－６　香山ビル７Ｆ,【渋谷駅から徒歩1分】貸切パーティー専門店（飲み放題＋料理付き）　http://www.debarge.jp/
イタリアンチーズバル ANDTABLE 渋谷店,月～木: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）金: 17:00～翌2:00 （料理L.O. 翌1:00 ドリンクL.O. 翌1:30）土、祝前日: 16:00～翌2:00 （料理L.O. 翌1:00 ドリンクL.O. 翌1:30）日、祝日: 16:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,東京都渋谷区宇田川町28-1 高山ランド6F,渋谷駅徒歩3分/2名様～最大60名様まで収容可能！ソファー個室のご予約はお早めに♪
和牛焼肉食べ放題 肉屋の台所 渋谷宮益坂店,月～金: 16:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）土、日、祝日: 12:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,東京都渋谷区渋谷１-25-6　パークサイド共同ビル5F ,超駅近！JR私鉄メトロ各線渋谷駅徒歩30秒/本格A5ランク黒毛和牛焼肉が食べ放題★半個室1～6名様/貸切最大100名様OK！
均タロー！渋谷店,月～日、祝日、祝前日: 15:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,東京都渋谷区道玄坂２－６－１５　ユニ道玄坂４F,東京メトロ，東急渋谷駅Ａ０出口より徒歩約1分/渋谷駅井の頭線西口より徒歩約2分/ＪＲ渋谷駅ハチ公口より徒歩約3分
北海道 渋谷駅前店,月、火: 11:30～14:30 （料理L.O. 14:00 ドリンクL.O. 14:00）16:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:45）水、木: 11:30～14:30 （料理L.O. 14:00 ドリンクL.O. 14:00）16:00～翌2:00 （料理L.O. 翌1:30 ドリンクL.O. 翌1:45）金: 11:30～14:30 （料理L.O. 14:00 ドリンクL.O. 14:00）16:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:30）土: 16:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:30）日、祝日: 16:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:45）,東京都渋谷区渋谷１－２４－１０　渋谷全線座ビル３Ｆ,JR渋谷駅宮益坂口 徒歩1分/東急東横線渋谷駅宮益坂口 徒歩1分/東京メトロ副都心線渋谷駅 徒歩1分
大人気シブヤ倶楽部 渋谷店,月～日、祝日、祝前日: 15:00～翌0:00,東京都渋谷区宇田川町28-1-8F,渋谷駅徒歩2分 【センター街すぐ】
鳥道酒場 渋谷センター街2号店,月～日、祝日、祝前日: 05:00～翌5:00,東京都渋谷区宇田川町22-4　渋谷センター街ビル 1F～4F,渋谷駅徒歩1分　【各路線からアクセス良好 × 集合&待ち合わせも容易】
Bar & Shisha Vedge ヴェッジ,月～日、祝日、祝前日: 19:00～翌5:00 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）,東京都渋谷区神南１-20-8　パークウェイテラス4F,渋谷駅より徒歩約5分/明治神宮前駅より徒歩約16分/代々木公園駅より徒歩約20分
個室居酒屋 座楽 渋谷店,月～金: 15:00～23:30 （料理L.O. 23:00 ドリンクL.O. 23:00）土、日、祝日、祝前日: 13:00～23:30 （料理L.O. 23:00 ドリンクL.O. 23:00）,東京都渋谷区渋谷１-２５-６ 渋谷パークサイド共同ビル３Ｆ,渋谷駅から一番（！？）近い居酒屋なので待ち合わせ・解散も楽ちん！人混みを避けて集合解散◎
串ばってん 渋谷店,月～日、祝日、祝前日: 12:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,東京都渋谷区道玄坂１-11-3 B1,渋谷駅井の頭線西口1分/東京メトロ銀座線渋谷駅4分/ＪＲ渋谷駅西口5分/東京メトロ，東急渋谷駅4分
炉端酒場 コウノトリ,月～日、祝日、祝前日: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）,東京都渋谷区宇田川町26－3,渋谷駅徒歩圏内
楽蔵 うたげ 渋谷駅前店,月～日、祝日、祝前日: 17:00～23:30 （料理L.O. 22:30 ドリンクL.O. 23:00）,東京都渋谷区渋谷１-24-12 渋谷東映プラザビル6Ｆ,JR 渋谷駅東口徒歩1分／地下鉄渋谷駅10番出口徒歩1分／銀座線・半蔵門線・副都心線渋谷駅宮益坂口出口 徒歩1分
スカイテラス 渋谷店,月～日、祝日、祝前日: 11:00～16:0017:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）,東京都渋谷区宇田川町28-1-8F,渋谷駅 徒歩1分
Petalo 生ハム ワイン,月～日、祝日、祝前日: 12:00～15:00 （料理L.O. 14:30 ドリンクL.O. 14:30）17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）,東京都渋谷区渋谷３丁目２１－３　渋谷ストリーム２F,東急東横線　田園都市線　東京メトロ半蔵門線　副都心線　渋谷駅　C2出口直結
ラエスキーナ 渋谷店,月～土、祝日、祝前日: 11:00～15:00 （料理L.O. 14:30 ドリンクL.O. 14:30）17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）,東京都渋谷区桜丘町1-1サクラステージ４Ｆ,渋谷駅直結♪サクラステージ4階☆
ピザ&ワイン UeCONA ウエコナ 渋谷道玄坂離れ,月～木、祝日: 17:00～翌2:00 （料理L.O. 翌1:00 ドリンクL.O. 翌1:00）金～日、祝前日: 17:00～翌4:00 （料理L.O. 翌2:00 ドリンクL.O. 翌3:00）,東京都渋谷区道玄坂１丁目１７－９ヴェラハイツ道玄坂B１F,JR渋谷駅 徒歩5分京王井の頭線 渋谷駅 徒歩3分
韓国居酒屋 マヤクポチャ,月～木: 16:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）金: 16:00～翌4:00 （料理L.O. 翌3:30 ドリンクL.O. 翌3:30）土、祝前日: 12:00～翌4:00 （料理L.O. 翌3:30 ドリンクL.O. 翌3:30）日、祝日: 12:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）,東京都渋谷区宇田川町２６－９　Ｂ１,渋谷駅ハチ公口徒歩3分バスケットボールストリート（渋谷センター街）通りの１階ウエンディーズ伸ビル2階
それゆけ!鶏ヤロー! 渋谷道玄坂店,月～木: 16:00～翌1:00 （料理L.O. 翌0:30 ドリンクL.O. 翌0:30）金、祝前日: 16:00～翌5:00 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）土、祝日: 15:00～翌5:00 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）日: 15:00～翌1:00 （料理L.O. 翌0:30 ドリンクL.O. 翌0:30）,東京都渋谷区道玄坂２丁目２５-１４ 2・3階 カネダイビル,東京メトロ，東急渋谷駅Ａ２出口・京王井の頭線渋谷駅井の頭線西口より徒歩約4分/ＪＲ渋谷駅ハチ公口より徒歩約7分
LUXURY BAR＆KARAOKE PALACE パレス 渋谷駅前店,月～金、祝前日: 17:30～翌5:00 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）土、日、祝日: 14:00～翌5:00 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）,東京都渋谷区渋谷１-25-6 渋谷パークサイド共同ビル 4F,■JR渋谷駅ハチ公口徒歩30秒！宮下パーク入口ビル４階です！
あばれ鮮魚 渋谷店,月～日、祝日、祝前日: 12:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,東京都渋谷区道玄坂１-11-3 B1F,渋谷駅井の頭線西口1分/東京メトロ銀座線渋谷駅4分/ＪＲ渋谷駅西口5分/東京メトロ，東急渋谷駅4分
カオサン 渋谷宮益坂店,月～金: 11:30～22:30 （料理L.O. 22:00 ドリンクL.O. 22:00）土: 12:00～22:30 （料理L.O. 22:00 ドリンクL.O. 22:00）日、祝日: 12:00～21:30 （料理L.O. 21:00 ドリンクL.O. 21:00）,東京都渋谷区渋谷１-8-5　小山ビル2F,【渋谷駅】『12出口』徒歩約4分 / 『宮益坂口出口』徒歩約5分
Amusement Bar PonPon ぽんぽん 渋谷,月～日、祝日、祝前日: 17:00～翌6:00 （料理L.O. 翌5:00 ドリンクL.O. 翌5:30）,東京都渋谷区円山町2‐6　Ｊプラザマルヤマビル5階,渋谷駅より徒歩5分！ボイジャースタンド横の奥からエレベーターで5階に当店がございます！
渋谷サカバ 渋谷店,月～金: 16:30～翌2:00 （料理L.O. 翌1:00 ドリンクL.O. 翌1:30）土、日: 14:30～翌2:00 （料理L.O. 翌1:00 ドリンクL.O. 翌1:30）祝日: 14:30～翌2:00 （料理L.O. 23:00 ドリンクL.O. 翌1:30）,東京都渋谷区宇田川町23-11 2F,東京メトロ，東急渋谷駅Ａ３ｂ出口より徒歩約0分
個室完備×大山地鶏の炭火焼き鳥 小江戸鳥や 渋谷店,月～土、祝日、祝前日: 11:00～翌8:00 （料理L.O. 翌7:00 ドリンクL.O. 翌7:00）日: 11:00～翌8:00 （料理L.O. 翌4:00 ドリンクL.O. 翌7:00）,東京都渋谷区道玄坂２-7-4 CENT渋谷ビル,渋谷駅 徒歩1分！完全個室で大山鶏の串焼き・鶏刺しを堪能｜飲み放題有り・クーポン有り
焼き鳥&野菜巻き食べ放題 個室居酒屋 鳥一王 渋谷駅前店,月～木: 14:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）金～日: 12:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,東京都渋谷区道玄坂１－5－9　レンガビル　3F,渋谷駅徒歩1分（焼き鳥&野菜巻き食べ放題の個室居酒屋）
御八 渋谷駅前店,月～日、祝日、祝前日: 16:00～23:30 （料理L.O. 22:30 ドリンクL.O. 22:45）,東京都渋谷区道玄坂２－８－７　道玄坂ビルＢ１,ＪＲ渋谷駅ハチ公口徒歩3分 京王井の頭線渋谷駅西口徒歩1分
ネオ大衆居酒屋 ボンサイ 肉横丁 渋谷店,月～日: 12:00～16:00 （料理L.O. 15:30 ドリンクL.O. 15:30）16:30～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:30）,東京都渋谷区宇田川町13-8 ちとせ会館2F,東京メトロ，東急渋谷駅３ａ出口より徒歩3分
広東料理 青山一品 青山店,月～土、祝日、祝前日: 11:30～14:30 （料理L.O. 14:00 ドリンクL.O. 14:00）17:00～22:30 （料理L.O. 22:00 ドリンクL.O. 22:00）,東京都渋谷区渋谷２丁目２‐４青山アルコープ１Ｆ,東京メトロ銀座線≪表参道駅≫より徒歩3分／山手線≪渋谷駅≫東口より徒歩10分
海鮮居酒屋 はなの舞 渋谷並木橋店,月～金: 11:30～15:00 （料理L.O. 14:00 ドリンクL.O. 14:30）16:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）土、日、祝日: 15:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）,東京都渋谷区渋谷３-13-5イプセ渋谷2F,JR山手線渋谷駅東口徒歩5分
居酒屋それゆけ！鶏ヤロー！渋谷駅前店,月～日: 16:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）,東京都渋谷区道玄坂２－３－１　渋谷駅前ビル１F,東京メトロ，東急渋谷駅Ａ１２出口より徒歩約1分/ＪＲ渋谷駅宮益坂口より徒歩約1分/銀座線渋谷駅ハチ公口より徒歩約1分
CRAFT CHEESE MARKET 渋谷駅前店,月～金、祝前日: 11:30～15:30 （料理L.O. 15:00 ドリンクL.O. 15:00）16:30～23:30 （料理L.O. 22:30 ドリンクL.O. 23:00）土、日、祝日: 11:30～23:30 （料理L.O. 22:30 ドリンクL.O. 23:00）,東京都渋谷区宇田川町25-4 ダッキープラザ B1F,JR線「渋谷」駅ハチ公口から徒歩1分/◎渋谷センター街すぐ♪１F「椿屋カフェ」のビルの地下１F
やきとん居酒屋 多吉 渋谷店,月: 12:00～翌0:00火、水: 12:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）木～日、祝日、祝前日: 12:00～翌5:00 （料理L.O. 翌3:00 ドリンクL.O. 翌3:00）,東京都渋谷区宇田川町24-4 サン渋谷ビル,各線　渋谷駅徒歩1分
イザカヤ ワープ,月～日: 17:00～翌5:00 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）,東京都渋谷区宇田川町３６－３　営和ビル３Ｆ,ＪＲ渋谷駅ハチ公口より徒歩約7分/東京メトロ，東急渋谷駅Ａ３ｂ出口より徒歩約6分
カフェクロワ cafe croix 渋谷店,月～金: 12:00～23:00 （料理L.O. 21:00 ドリンクL.O. 22:00）土、日、祝日: 13:00～23:00 （料理L.O. 21:00 ドリンクL.O. 22:00）,東京都渋谷区渋谷３-18-5　佐藤エステートビル8F,ＪＲ渋谷駅東口/東京メトロ銀座線/東急東横線 渋谷駅徒歩2分　渋谷スクランブルスクエア側◆大人気バースデープレート♪
大衆食堂 てんぐ大ホール 渋谷センター街２号店,月～木: 14:00～23:00金、土: 14:00～23:30日、祝日: 14:00～22:00,東京都渋谷区宇田川町26-9 渋谷センター街・太田ビルB１F,東京メトロ，東急渋谷駅Ａ３ｂ出口より徒歩約2分/ＪＲ渋谷駅ハチ公口より徒歩約4分
南国亭 渋谷駅前店,月～土: 11:00～14:30 （料理L.O. 14:30 ドリンクL.O. 14:30）17:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）日: 11:00～14:30 （料理L.O. 14:30 ドリンクL.O. 14:30）17:00～22:30 （料理L.O. 22:30 ドリンクL.O. 22:30）,東京都渋谷区渋谷３-6-16,渋谷駅徒歩3分。渋谷駅東口より渋谷警察署方面へ歩道橋で渡り警察署を背に直進しＱＢハウス前右折、突きあたりを左折
250yenbar moon walk 渋谷宮益坂店,月～日: 18:00～翌5:00 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）,東京都渋谷区渋谷１-9-8　センスビル9F,[250円バー ムーンウォーク 渋谷宮益坂店がリニューアルしてオープン!!]JR 渋谷駅から徒歩５分/各線地下鉄渋谷駅徒歩5分
鹿児島料理 丸万 東急プラザ 渋谷,月～日、祝日、祝前日: 11:00～23:00 （料理L.O. 22:15 ドリンクL.O. 22:15）,東京都渋谷区道玄坂１-2-3 東急プラザ6F,ＪＲ 渋谷駅 徒歩2分/地下鉄銀座線 渋谷駅 徒歩2分
USHIHACHI 極 渋谷,月～金: 11:00～15:30 （料理L.O. 15:00 ドリンクL.O. 15:00）17:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）土、日、祝日: 11:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,東京都渋谷区道玄坂２-3-1 渋谷駅前ビル　４F,東京メトロ、東急、京王井の頭線渋谷駅より徒歩約1分/ＪＲ、東京メトロ銀座線渋谷駅ハチ公口より徒歩約1分
アミューズメントバー DPS 立川店,月～木、日、祝日: 18:00～翌5:00 （料理L.O. 翌3:30 ドリンクL.O. 翌4:30）金、土、祝前日: 18:00～翌8:00 （料理L.O. 翌6:30 ドリンクL.O. 翌7:30）,東京都立川市柴崎町３-3-7 山三電機ビル6階,ＪＲ立川駅南口より徒歩約2分！！駅近くの好立地★
ミュージック＆ダーツ オラス渋谷店,月～日、祝日、祝前日: 19:00～翌10:00 （料理L.O. 翌8:00 ドリンクL.O. 翌9:30）,東京都渋谷区道玄坂１-6-2 渋谷ファイブビル2F,渋谷駅徒歩2分！　アクセス抜群♪
